name,value,year,lastValue,rank
Brazil,1483,2018.1,1483,2
Portugal,1358,2018.1,1358,3
Argentina,1348,2018.1,1348,4
Belgium,1325,2018.1,1325,5
Spain,1231,2018.1,1231,6
Poland,1209,2018.1,1209,7
Switzerland,1190,2018.1,1190,8
France,1183,2018.1,1183,9
Chile,1147,2018.1,1162,10
Peru,1128,2018.1,1128,11
Denmark,1099,2018.1,1099,12
Colombia,1078,2018.1,1078,13
Italy,1052,2018.1,1052,14
Croatia,1048,2018.1,1018,15
England,1047,2018.1,1047,16
Mexico,1032,2018.1,1032,17
Sweden,1000,2018.1,998,18
Wales,985,2018.1,985,19
Iceland,959,2018.1,910,20
